Cost	67	How are you accounting for the macroeconomic impact of climate change?	We don't include the impacts of climate change in the model.	Amber	wiki	Does it need more detail?	TC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	41	"Why have you included the total cost of vehicles? Question: ""On the cost methodology, it appears that the total cost of vehicles in the transport sector is included. While one could understand including the incremental cost of, say, electric vehicles or plug-in hybrids over ""conventional"" petrol or diesel cars, to count in the total cost of the vehicles seems illogical."""	"The calculator gives the user the option of choosing to travel less, and to travel differently (for instance, for a greater proportion of journeys to be by train or bicycle than today). To fully account for the cost impact of this option, and its interaction with the choice about what sort of vehicle is used (conventional, electric or hydrogen) the total cost of vehicles was included.
Note that, at the moment, the total cost of aircraft and ships are not included."	Amber	wiki	Check still true?	GH/TC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	44	"You appear to have costs and cost ranges for 2010 and 2050, what are the costs you use for the intervening periods?"	"The period between 2010 and 2050 is broken down into nine five year periods in the Calculator. We use one cost for each of these periods. 
This cost is generally calculated by linearly interpolating between the 2010 and 2050 figures - that is to say for the middle period, 2030 to 2035, the cost will be half way be between the 2010 and 2050 costs; for the fifth period the cost is five ninths of the way between the 2010 and the 2050 costs. 
In the case of the power sector we have followed the way the costs fall in the MARKAL model. The costs do not change in every period from this source, with typically three or so ""vintages"" of costs. For example one cost for the 2020s, another for the 2030s and then a third for the period after 2045. 
The actual numbers for the costs and the calculations involved can be found in the excel spreadsheet version of the model, although the 2010 and 2050 costs displayed on the wiki give a good approximation of the trend."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	45	Have you used a discount rate? What have you used if so?	"The costs we are currently presenting in the webtool are not discounted.
However, the excel spreadsheet model has the functionality to easily enable a discount rate. This can be done through the ""Global Assumptions"" worksheet. We have a 3.5 percent default loaded for this purpose. The reasons for this can be found on the Discount rate methodology page: http://2050-calculator-tool-wiki.decc.gov.uk/pages/107. 
The CostPerCapita and CostAbsolute worksheets have NPV (Net Present Value) columns where the cost with the default discount rate are available."	Green	wiki		GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	56	Does the 2050 Costs calculator account for system costs?	"We have accounted for system costs and intermittency in the 2050 Pathways analysis, although any further evidence or comments on how we can improve our cost sources and methodology would be greatly appreciated.
See this page for a detailed answer:
http://2050-calculator-tool-wiki.decc.gov.uk/pages/220"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	59	How do you treat discounting?	See question 45	Green	wiki		GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	60	How do you treat financing costs?	"Financing costs are a variable which can be defined by technology in the excel, both in terms of interest rate and duration of loan period. The question is how to present finance costs in the webtool, please see web interface to leave your thoughts and comments."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	62	Do you account for nuclear waste costs?	"We have added a cost of uranium disposal and plant decommissioning as a function of the Uranium used in pathways. See Uranium Enrichment & Disposal cost data at: http://2050-calculator-tool-wiki.decc.gov.uk/cost_categories/20
"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	63	Presumably if energy prices are rising people will demand less. Do you account for these dynamic feedbacks?	"There is no price elasticity function, which adjusts energy demands in response to prices in pathways. This is because the pathways are user led and the costs work, emissions and energy are shown as consequences of a users chosen pathway. Therefore, in a high-level way a user can decide to replicate demand side response by increasing the level of demand reduction through the user choices but we have not hard-wired this response, since the 2050 Calculator has no optimisation function"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	64	How will you measure the impact on bills?	"The model doesn't measure the impact on consumer bills. It works out the cost to society of a particular energy system, but doesn't specify who pays."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Cost	104	"In Finance costs, why are there different years attributed here."	"The finance costs (ÔGlobal assumptionsÕ row 31 onwards) are made up of two factors: the interest rate, and the period of time a loan is structured. This is to reflect the typical period of time loans are taken out for in an industry. The shorter the time period Ð the less interest you have to pay. "					
Emissions	126	Why are some emissions negative?	" In the emissions chart in the ÒControlÓ worksheet, you will see that some emissions are negative. The technologies that have particular characteristics that result in negative emissions are as follows: 
¥ Carbon capture and storage (CCS) Ð when gas is burned in a CCS power station, the Calculator applies the natural gas emissions factor to the quantity burned and adds the resulting CO2 to the modelÕs total emissions. To account for the fact that these emissions are captured, an equivalent negative quantity of emissions is also added to the total. 
¥ Biomass Ð like all other fuels, when biofuelsÕ biomass are combusted, the model applies an emissions factor according to its physical state. However, unlike hydrocarbons, biofuels do not produce any CO2 when burned. UNFCCC accounting guidelines state that countries should treat biomass as an emissions neutral energy source. This is because carbon from the atmosphere is sequestered into the biomass while the feedstock is growing. To account for this, an equivalent negative quantity of emissions is included in the emission calculation. When biofuels are combined with CSS, the above treatments combine, resulting in a negative contribution to the overall CO2 emission calculation. 
¥ Geosequestration - these technologies remove CO2 directly from the atmosphere and store it in parts of the geochemical system. The amount of CO2 removed appears as a negative quantity in the emissions calculation. "	Green	Slidepack		GH done	Training pack
Emissions	189	"Looking at the emissions factors, there's quite commonly over time a reduction of emissions factor. What's driving the change in emissions factors?"	TBD	Red	Ed/Ruth			Mexican workshop
Emissions	47	"The calculator uses an average CO2 emissions factor for solids, liquids and gas, how did you reach this value?"	"I believe that, for CO_2, we used the specific emissions factor for the particular fuel listed in the table. (Eg, for solids, we used the emissions factor for industrial coal). These emissions factors are reported in DUKES (the Digest of UK Energy Statistics, published by DECC). 
It turns out that emissions factors expressed as emissions per unit of energy (rather than per unit of mass or volume) are reasonably constant for all hydrocarbon fuels of a particular physical state Ð certainly within the limits of uncertainty expected of a model like this.
For the other gases, CH_4 and N_2O, we used the ratio of these gases emitted to CO_2 emitted from combustion (of the appropriate fuel) for the total UK emissions, as reported in the Greenhouse Gas Inventory, and assumed this ratio applied to all sources. In summary: for each physical state of hydrocarbons, we first estimated CO_2 emission as above, then applied a constant multiplier to obtain the emissions of the other gasses.
"	Green	wiki		GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Fossil fuels	121	There are lots of types of coal - which type are you comparing to?	"In the UKÕs 2050 calculator, there are only 3 emissions factors: solid, liquid and gaseous hydrocarbons.
The emissions factor work on a Ôper unit of energyÕ basis, which means that all fuels of same physical state have same emissions. These wouldn't be the same on mass, but on a TWh basis, works the same.
Because this is done on an energy basis, we can use same emissions factor on all hydrocarbons.  This is a very small simplification, applied generally, which keeps things a lot more manageable
So each type of hydrocarbons goes to the end use, and is not allocated to specific sectors. We just make a subtraction from solid, liquid gas, and then there's an adjustment made 
"	Green	Greg&Ed/Ruth adapted		LA	Mexican workshop
Fossil fuels	40	How is shale gas treated	"(From wiki page, written by Jan Kiso)
In December 2010, we updated our 2050 Pathways calculator to include costs estimates for the different choices facing the UKÕs energy infrastructure . Although there are inevitably uncertainties about predicting costs of anything decades in the future, we felt that in order to have an honest and fair discussion about the UKÕs energy future we needed to reflect the potential costs.
Since then the 2050 Pathways team have received comments about how shale gas is treated within the 2050 Pathways Calculator, with some people expressing concern that we were ignoring this source of energy.
Shale gas is a natural gas (predominantly methane) found in shale rock. Natural gas produced from shale is often referred to as ÔunconventionalÕ and this refers to the type of rock in which it is found. ÔConventionalÕ oil and gas refers to hydrocarbons which have previously been in sandstone or limestone, instead of shale or coal which are now the focus of unconventional exploration.
The 2050 Pathways Calculator does not distinguish whether natural gas in the pathways originates from ÔconventionalÕ or ÔunconventionalÕ sources. It takes natural gas as a primary energy source.
If the Calculator user believes that shale gas will significantly lower the price of natural gas in the UK in the future, he/she can choose lower cost assumptions in the Calculator section Ôcosts sensitivityÕ. Users could look at the impact of gas being 45p/therm to 100p/therm in 2050. These high/low gas prices are taken from the DECC fossil fuel price projections published in October 2011.
The Calculator has no constraints on the amount of gas the UK can use. For example, in the Òdo not tackle climate changeÓ scenario (defined as all level 1s), 66% of energy supply in 2050 is natural gas. The Calculator just assumes that gas imports are available."	Amber	Jan	Check still true?	TC	
Fossil fuels	106	"Regarding the energy supply side, i need your support to have information and some data in term of general on oil refinery, e.g. i). refinery losses; ii). Energy own use in the refinery plant (electricity, heat, and oil products for processing, etc.); and iii). O&M cost-Refinery plant. Because, there is not available, confidence information and data on that although one oil refinery plant is operating with capacity at 6.5 mill. ton per year. I have to say that the data is not confidence enough due to the data collected from energy statistic that mentioned the refinery losses is 12%?"	"1.ÊÊÊÊÊ Refinery losses: Just to check that we understand the question Ð there is one refinery in Vietnam, but the data they have is confidential. You are looking for information on what assumptions you should use for costs and losses.
If the refinery is not absolutely huge, then you are probably ok using UK data for refineries (sheet XVa. in the UK Calculator).
The other option is to use data from a neighbouring country, or if that is too difficult to obtain you can use US data from the MARKAL user guide. WeÕd recommend using UK data, unless you think that this will really distort your results."	Amber	Ed		RC	Email from Vietnam
Fossil fuels	82	"I have one more question which is about oil refinery module (XVa). I understand from the UK model that output products are not separate by types of fuel i.e., DO, FO, Gasoline etc. Could you pls. explain why it is so?
Secondly, I do not see how these output are used (row 129). Could you pls. explain? "	"The Calculator takes a simple approach where total energy demand and supply within the UK are calculated separately, and any difference between them is balanced with imports/exports. There is no attempt to show the path from extraction, to conversion and then consumption within specific sectors.
In the case of liquid hydrocarbons, as were the focus of your question, the total requirement is calculated in row 101, ÔSubtotal.XVI.a Requested hydrocarbonsÕ (e.g. 830.4 TWh in 2010) of vector V.04.
This demand is met with domestic production via sector XV.b, (802.5 TWh) , with the remainder (27.9 TWh) being supplied via balancing imports in vector Y.05. These quantities enter via vector C.02, and are transferred to vector V.04 via the Ôfossil fuel transfersÕ sector (XVI.a), so that supply and demand for sector V.04 net to zero.
Sector XV.a is essentially a subsidiary sector that exists primarily to calculate the costs, energy requirements and emissions associated with refining the domestically produced fossil fuels. The energy inputs and outputs of have already accounted for as described above.
To maintain simplicity, the Calculator treats all liquid hydrocarbons the same, whether they are diesel or petrol etc. The fact that the emissions factors for these different fuel types are, on an energy basis (i.e. MtCO2/TWh), essentially the same, enables this simplified approach to work. Diverging from this approach would add a great deal of complexity to the Calculator.
"	Amber	Greg	Slightly complex	RC	Greg's summary
Fossil fuels	195	"For the Colombian model, how much can we change the UK's sheet on transfers of energy. Sheet XIII.a includes several calculations (especially emissions) that we had already done in our hydrocarbon generation sheets (ie, generation from gas/coal).
Can we delete them from here, or should we keep sheet XIII.a the same and delete them from th sector sheet? What other changes do we need to consider"	"IÕve attached the current version of the Indian calculator for you (theyÕll be doing an updated version in a few months though, so for future reference here is the link which will always be the latest version: you just need to click ÔThe modelÕ at the top, then ÔThe Downloadable Excel ModelÕ):  http://www.indiaenergy.gov.in/#              
In the Indian spreadsheet, the structure is:
¥ Hydrocarbon fuel power generation is in sheets I.a (gas) and I.b (coal)
¥ Their version of fossil fuel transfer (ie. your sheets XIII.a and b) are in their sheets XVII.a and b
¥ They also have fossil fuel production calculations in sheets Xv.a to c
The important things are to avoid emitting or double-counting anything (ie. emissions for a particular energy should be done in one and only one place) and to make sure that your calculations are clear and consistent. The UK version isn't the only approach that you can use. For Colombia's spreadsheet, we recommend that you look at the Indian team's spreadsheet.
Here is the link to the Indian 2047 Calculator: you just need to click ÔThe modelÕ at the top, then ÔThe Downloadable Excel ModelÕ):  http://www.indiaenergy.gov.in/#              
Basically the Indian teamÕs approach was:
¥ In the fossil fuel transfer sheets, the Indian sheet XVII.a is adapted from the UKÕs version, but removes the following parts:
   o Cost assumptions
   o Emissions
   o Capacities
   o Air quality
¥ All of these calculations were included in the hydrocarbon sheets I.a and I.b (or not included at all). For example, in sheet I.a
   o Cost calculations are not included in the Indian calculator but theyÕre working now to add them to their second phase
   o Emissions are calculated in rows 117 to 125
   o Capacities on row 79
   o Air quality also isnÕt included in the Indian calculator.
"	Green	Ruth/Ed		Ed done	Colombian team
Fossil fuels	196	"What does NMVOC stand for, and why are they modelled as if they are a greenhouse gas?"	"This stands for Non methane volatile organic compounds. You can read more about them here:
http://en.wikipedia.org/wiki/NMVOC
It's worth noting that NMVOC is not classed as one of the six greenhouse gas (GHG) categories (in the UK spreadsheet, it has been incorrectly labelled it as this). The reason it's included in the UK version is because it is an important factor in air quality.
"	Green	Ruth/Ed		Ed done	Colombian team
Fossil fuels	73	Why are oil demand projections from the DECC energy model so different from the 2050 analysis?	"The 2050 Pathways and the Energy Model are two separate models, and there is very little overlap in inputs. That explains why you are seeing different projections in oil demand.
You can read more detail here: http://2050-calculator-tool-wiki.decc.gov.uk/pages/219"	Green	Sonia Krylova - DECC economist			
Fossil fuels	58	It is very confusing having energy supply from coal and from biomass represented by the same block on chart two. Why is this done?	"The ÒUK Primary Energy SupplyÓ chart in the 2050 Calculator Webtool shows the energy supplied from the available primary energy sources in the Calculator: the ÒcoalÓ line shows the energy derived from coal; the ÒbioenergyÓ line shows energy derived from biomass. However, choices on solid biomass have an impact on coal use and this will be visible in the chart. This is because energy demand is always met in the 2050 Calculator, and if insufficient biomass is provided the corresponding fossil fuel is used. For example, if the user selects a higher level of biomass power plant deployment, then coal use will increase if there is insufficient solid biomass in the userÕs pathway to satisfy the solid hydrocarbon demand.
A detailed breakdown of the energy supplied from the different sources is provided in the spreadsheet in the ÒIntermediate outputÓ worksheet, rows 23 to 47. The spreadsheet can be accessed at: http://2050-calculator-tool-wiki.decc.gov.uk/pages/140
"	Amber	wiki	Double-check	RC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Fossil fuels	15	How does the fossil fuel production (NOT use) affect emissions? (sheet XV b)	"Fossil fuel production affects emissions in two ways: (1) from mining (fugitive emissions), and; (2) the energy required in the production process."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Fossil fuels	177	"For oil and gas extraction, what are fugitive emissions and do we need to include them?"	TBD	Red			GH/TC	Indian team
Industry	132	How does the Calculator deal with imports of manufactured goods from other countries?	"It is important to bear in mind that while sacrificing output in the UK may help us achieve our 2050 targets, it does not rule out the possibility of these emissions simply being ÔoffshoredÕ to another country Ð a consequence that the CalculatorÕs outputs do not account for."	Amber	PAR	Brief	GH	PAR
Industry	27	Is it possible to use baseline year other than 2007? (sheet XI. a and other sheets also)	"Yes, you can start from any base year. We used 2007 since it was the most recent data point at the time of development, but other countries have used other years (for example 2010). It's important that you have as much data as possible for the year that you choose as your base year. You want the year that is complete enough, but also recent enough."	Amber	wiki/Greg/Ruth	First draft - does it cover enough? Is it clear?	EH	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Industry	174	What are process emissions?	"Process emissions from industrial processes are emissions from chemical transformations other than combustion. For example, CO2 from the calcinations step in cement manufacturing, CO2 from catalytic cracking in petrochemical processing, Perfluorocarbons  (PFC) emissions from aluminium smelting, etc.
The UK's trajectory assumptions about process emissions are described here:
http://2050-calculator-tool.decc.gov.uk/assets/onepage/38.pdf"	Amber	RC			Ruth made up
Industry	92	How were the UK's industry sectors defined: what is included and what isn't included?	"To understand more about the UK's industry sectors and how these are classified, you can have a look at our part 2 2050 calculator document (pages 90-92 summarise how the levers for industry were changed from one to two levers):
https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/42545/1344-2050-pathways-analysis-response-pt2.pdf
The link below also gives a summary of how industries are assigned to the categories we use, and might be a helpful check for you.
http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
"	Green	Ruth		RC done	Ruth question idea
Industry	26	Is the industry emissions (and energy use) matched with the actual electricity generation mix? (on sheet XI. a. the electricity need of the industry is used as input Ð what is the fuel mix behind this electricity need?)	No.  Electricity demand and supply are matched at an aggregate level.  No attempt is made to attribute electricity generated by particular technologies to being consumed by particular demand sectors.	Green	wiki		GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Industry	25	"Could you please indicate which industries belong to certain categories (chemicals, minerals, metals)? Is the refinery factor included in one of them? Why there is a distinct sheet for refineries (XV a.)?"	See the full answer here: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131	Green	wiki		RC done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Industry	28	Why is the growth in energy demand multiplier indicator missing between 2025-2050? (sheet XI. a)?	The energy demand multipliers are annual multipliers for the years 2007 Ð 2050 (whereas the output index has a growth rate for 2007- 2025 and then 2025 to 2050)	Amber	wiki		GH	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Industry	38	Where is industrial CHP?	"Industrial CHP is included, but it is not shown separately. Instead industry as a whole is modelled as taking in fuels (gas, coal, oil, electricity, some heat from district heating) and then doing useful stuff with it, including turning it to electricity and heat for their own use. 
At some point, we'd like to separate out industrial CHP."	Amber	wiki	Is this still true?	TC	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Industry	175	How much potential is there with fuel-switching for industry? How would we model this?	TBD	Red			TC	Discussion with Indonesian team
Nuclear	103	Nuclear is listed as having 3GW ÒpeakÓ plant. What does this mean?	"ÒPeakÓ plant (II.a row 71 in the Excel) is used to describe the size of each nuclear plant included in the nuclear scenarios. We refer to ÒpeakÓ to show the maximum generating capacity of the plant, which the way that the industry talks about plant size. This is then combined with a capacity factor to calculate how much electricity it can generate."	Green	Ed		RC done	
Renewables 	105	For wave and tidal energy what does availability factor mean?	"2. Wave and tidal energy. What does Òavailability factorÓ mean?
ÒAvailability factorÓ (III.a rows 67-71 in the Excel) is used to model the fact that you will need to maintain these renewables at some stage. Some more general background on this and the difference between availability and capacity factors is here: http://en.wikipedia.org/wiki/Availability_factor 
An availability factor of 90% shows that of a development of 10 wave installations, at any time one will not be generating electricity because it is closed for maintenance. A higher factor e.g. 95% shows that more installations would be available to generate electricity e.g. of 10 installations at any time, 0.5 will not be working. 
"	Green	Ed			http://en.wikipedia.org/wiki/Availability_factor 
Sector sheets	7	Is it possible to turn a fixed assumption indicator to trajectories?	"Yes: you can have any number of trajectory assumptions, within the limits of what is practical. Remember that it will make it harder for the users to understand the model if they have to make lots of choices; we have found that around 40 choices is about right. If you create more trajectories it also requires more stakeholder work to agree the range of change in that trajectory. You can combine multiple trajectory parameters within one lever (for example, occupancy and efficiency in the transport sector) but this becomes more opaque. "	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Summary sheets	8	Are the sectors connected (e.g. do supply-demand match)?	"Generally, all the sectors are independent. The user chooses what happens in each sector, and the Calculator adds up the supply and the demand for energy in the ÒyearÓ worksheets (for example, worksheet Ò2007Ó summarises the supply and demand for energy for 2007).
However, there are some sectors that are dependent on others.  Most notably, the fossil fuel electricity generation sector (1.a) calculates the any shortfall between demand and supply for electricity from the other sectors, and automatically generates any additional required electricity.
Additionally, if there is a shortfall of supply from domestic fossil fuel production, domestic nuclear, biofuels and renewables production, electricity imports and bioenergy imports, the Calculator ÒimportsÓ gas to meet the excess demand. The other interactions are:
áÊÊÊÊÊÊÊ bioenergy (see page 13 of the ÒHow to GuideÓ https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/65606/6966-2050-calculator-spreadsheet-how-to-guide.pdf) 
áÊÊÊÊÊÊÊ fossil fuels (refinery activity, worksheet ÒXV.aÓ, depends on the amount of indigenous production of oil, as specified by the user. "	Green	wiki		GH done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Technical	109	What is the reason behind the distinction between primary and secondary energy? Would there be problems if the Colombian team wanted to change these definitions?	"Primary sources refer to energy vectors in their initial state as they enter the system. Secondary sources refer to any primary source that may have undergone a change of state, before it is consumed e.g. solar electricity Ð electricity from the grid. These vectors (both primary and secondary) aim to be mutually exclusive and comprehensive of the whole energy system.
It would be ok to change definitions to better fit Colombian statistical conventions, but you would need to be very careful that you were not going to double count anything (e.g. make sure everything is mutually exclusive). If you wanted to add any additional primary or secondary sources as vectors in the technology sheets, and then also add these to the year sheets."		Ed			Colombian team
Technical	162	How consistent do we need to be with IPCC categories?	TBD	Red	Ed/Ruth		EH	Colombian team
Technical	140	"What is DUKES, and why is it referenced in so many places?"	"DUKES is the UK's Digest of UK energy statistics, and summarises all relevant figures for each year. This was one of the main resources used for the 2050 calculator.
https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes"	Green	Ruth		RC done	Ruth question idea
Technical	74	"Are all the numbers and calculations inside the sheets are accumulated for five years, or is it only data for each year?"	"The aim of the year sheets within the calculator is to give a picture of how the energy system looks in each of those years - e.g. the year 2040, 2045 etc. 
In each of these, we work out all the input data and assumptions and all of the outputs just for that year, so all numbers should be by year unless itÕs specifically stated otherwise.
Occasionally calculations are by 5-years (for example when working out the new capacity that will be added between one year and 5-years later), but the units should indicate that.
A couple of ways the sheet is designed around this by-year approach are:
¥ The base year calibration (2007 in the UKÕs case) which matches up actual reported figures for that year, against modelled figures
¥ In the Intermediate output sheet : the heading (D4) says TWh per year
¥ And anywhere that cumulative calculations are done, approaches such as the following are taken:
ÒCumulative emissions are estimates based on a linear trajectory between the 5 year time periodsÓ (e.g. intermediate output sheet, cell C198)"	Green	Ruth		RC done	Colombian team
Technical	78	Could you please give us some more detailed information about vectors?	"This page gives a summary of vectors:
http://book.2050.org.uk/calculator-book/appendix-3-vectors.html"	Green	Ruth		RC done	Colombian team
Technical	116	"Apart from the level of accuracy of statistic input, what has been the criticism or main weakness of this model?"	"Some people think that there are technologies or choices not included which should be, for example more options in transport sector to lower demand. Ideally level 4 should be very ambitious, and roughly equal effort across all sectors - although we're not quite there yet in the UK version, we recommend that you use your stakeholder consultations to do this.
We receive complaints  asking where shale gas is within the model, and asking about options to increase domestic gas in future (however several other countries have made it easier to increase production of any fossil fuels)
People also sometimes like to be able to change more than just the levers Ð for example, when a particularly technology will be launched. However, because the fixed assumptions are always in the Excel file, some people have adapted this to explore questions of their own.
People sometimes ask what do we do with all public comments and how can people feed into the model. Although we invited comment through the Call for Evidence, there is always more we would like to do here.
The 5-year modelling periods have been questioned - this approach lacks the detail of the 30 minute based model. (Can we give example?)
The Calculator has been criticised for not being an economic model, i.e. costs are treated as exogenous, which is arguably unrealistic."	Green	Ruth		TC/GH	Mexican workshop
Technical	124	"For teams working on the Calculator so far, what aspects of the UK structure have they most needed or wanted to change?"	"In general, teams have made fewer changes to the renewable supply sectors Ð they have removed some technologies, and sometimes merged technologies (e.g. treating onshore and offshore wind together), but broadly they have left the same.
For fossil fuel production and generation, there have been some changes: for example, several countries have changed the default fuel to coal (rather than gas as used in the UK). 
For demand sectors, there has often been more change. For example, within transport the Chinese calculator team have made a few big changes. TheyÕve divide transport into urban and rural to reflect the very different patterns of travel, and the shorter distances travelled.
In your transport sector, youÕll also need to think about what you want to include and how you want to split it.  You could also decide to include international transport, even though not accounted in official inventory, because you often need to consider implication of those data when discussed internationally.
"	Amber	Ruth		EH	Mexican workshop
Technical	128	"What GDP growth rate assumptions have you used and how do you change them? 
"	"For the UK, GDP growth is assumed to be 2.0% in each year from 2007 to 2050, based on HM TreasuryÕs view of long-term growth in the UK. This assumption can be changed by altering the ÒGDP (2005 £m)Ó column in the ÒGlobal.AssumptionsÓ ÔTableÕ, in the ÒGlobal assumptionsÓ worksheet. 
We recommend that you choose a GDP which seems sensible over the long-term, even if this might be slightly lower than recent trends. You may want to discuss this with stakeholders early in the process of building your model. You may also want to compare your assumptions on levers such as industry growth, to make sure these are consistent with your GDP assumption."	Amber	Ruth	First draft - does it cover enough? Is it clear?	EH	Training pack
Technical	161	Why do the numbers not update in the spreadsheet when I change them?	"You need to press F9 whenever you change anything, and this will recalculate the entire spreadsheet. It can take a few seconds, so make sure you wait until all the calculations have been updated (you'll see a percentage counting up to 100%, when it is ready).
The reason it doesn't automatically recalculate is that this would make the Excel spreadsheet much slower to use. So we always save it in a mode called 'manual recalculation', where F9 triggers all the calculations."		Ruth		LA	Ruth question idea
Technical	127	"What population figures have you used and how do you change them? 
"	"The population projections used in the UK's Calculator are central projections sourced from the Office for National Statistics, and are given in a ÔTableÕ called ÒGlobal.AssumptionsÓ in the ÒGlobal assumptionsÓ worksheet. The figures in this ÔTableÕ can be edited if the user wants to use different population assumptions. 
Other countries have used sources from their own countries, but we always recommend using this as Global Assumptions.
"	Green	Slidepack		RC done	Training pack
Technical	2	Where do I find the Excel model?	"The Excel model is self contained and available here: 
http://2050-calculator-tool-wiki.decc.gov.uk/pages/140"	Green	wiki		Yes	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Technical	37	How does the 2050 pathways model relate to other energy models	"The short answer: There is no perfect model. The 2050 pathways model is playable & transparent but simplistic. Markal, ESME, the DECC Energy Model are rich & powerful in different ways but complex and limited in others. DECC uses all four.
For a longer answer, see the page here:
 http://2050-calculator-tool-wiki.decc.gov.uk/pages/60"	Green	wiki		RC done	wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Technical	35	Why doesn't the spreadsheet work in older versions of Microsoft Excel or in other spreadsheet programs such as open office	"The only software that the Calculator can run on is Microsoft Excel for PCs 2007 and 2010, and Microsoft Excel for Macs 2011. 
The reason is that the model includes Òstructured referencesÓ and these have not been implemented in earlier versions or in open source Excel alternatives. 
Possible work arounds:
 ¥Download trial copies of the latest version of Microsoft Excel
 ¥Programmatically drive the ruby version of the calculator, distributed as part of the source code to the web interface
 "		wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/115?redirect_from=FAQ
Technical	3	What version of Excel do you need?	"The Excel model requires Microsoft Excel, 2007 or later (sadly it doesn't work in Open Office or older versions of Excel, because of its use of structured references)."	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Technical	6	Who do I contact for technical help?	"If you want to talk about what you are trying to do, or find out about our experiences in developing the tool, please get in touch at 2050pathways@decc.gsi.gov.uk"	Green	wiki			wiki: http://2050-calculator-tool-wiki.decc.gov.uk/pages/131
Technical	131	Does each lever correspond to a sector/sheet within the spreadsheet?	"The list of levers doesn't directly correspond to the list of sectors.
Some sectors have no lever (e.g. unabated thermal generation). Whereas some sectors have more than one lever (e.g. the heat sector which has four)
Levers represent the complete list of main actions to target emissions: they control the main drivers for each sector."	Green			GH done	
Technical	136	"What is the difference between sectors which are numbered 1-4, and sectors which are called A, B, C?"	"Where factors can be considered as changing levels of effort or ambition, these are described in the analysis as levels 1Ð4 on a
similar basis to the supply side sectors.
Where the changes described reflect a choice rather than a scale (for example choices of fuel or technology), they are described as
trajectories A, B, C, D; these choices cannot be compared between sectors."	Amber				
Technical	108	How easy is it to add air quality?	"For the details on air pollution, look at the Òair qualityÓ sheets in the Excel. They come after the costs work, and all start with AQ e.g. ÔAQ OutputsÕ. HereÕs detail on the methodology Ð as Johanna mentioned it would be possible from this to work out the direct impacts on health. For other co-benefits we have attempted to add biodiversity impacts to the UK Calculator to the UK Calculator, but this has been very difficult due to lack of data, and the complex nature of the issue. We have been more successful adding water consumption of each pathway, and would be happy to share with you the methodology there (as we mentioned, it is not yet published in the live spreadsheet). Any work on co-benefits brings extra work, so happy to provide guidance on what this might mean for you if you want to add anything. "		Ed			Colombian team
Technical	163	How is the web tool hosted?	TBD	Red	Ed		EH/GH	Colombian team
Technical	192	"How many stakeholders should be used for this to be trustworthy?
If we see 2 or 3 people, is that not enough? For example, in the carbon sequestration
it was hard to gather 2 or 3 experts."	TBD	Red	Ed/Ruth			
Technical	114	How do I find out more about structured table references?	"This section of the book explains in detail what structured table references are, and how to use them:
http://book.2050.org.uk/calculator-book/appendix-2-complex-excel-formulae.html#structured-table-references"	Green	Greg			Ruth question idea
